condition,seed,beta,auprc,ap_lift,p_at_budget,window_macro_auprc,transaction_weighted_window_auprc
control,47,0.15,0.00127696105000424,1.223083798783662,0.008666666666666666,0.003257320115742544,0.0032567573474006637
control,47,0.2,0.00127696105000424,1.223083798783662,0.008666666666666666,0.003257320115742544,0.0032567573474006637
control,47,0.3,0.00127696105000424,1.223083798783662,0.008666666666666666,0.003257320115742544,0.0032567573474006637
control,48,0.0,0.00176680438151718,1.7504117520180507,0.030444444444444448,0.010902351405667773,0.010842289410462032
control,48,0.05,0.00176680438151718,1.7504117520180507,0.030444444444444448,0.010902351405667773,0.010842289410462032
control,48,0.1,0.00176680438151718,1.7504117520180507,0.030444444444444448,0.010902351405667773,0.010842289410462032
control,48,0.15,0.00176680438151718,1.7504117520180507,0.030444444444444448,0.010902351405667773,0.010842289410462032
control,48,0.2,0.00176680438151718,1.7504117520180507,0.030444444444444448,0.010902351405667773,0.010842289410462032
control,48,0.3,0.00176680438151718,1.7504117520180507,0.030444444444444448,0.010902351405667773,0.010842289410462032
control,49,0.0,0.0021316556676985203,2.0801650217883334,0.01466666666666667,0.005828325450903454,0.005688229039382316
control,49,0.05,0.0021316556676985203,2.0801650217883334,0.01466666666666667,0.005828325450903454,0.005688229039382316
control,49,0.1,0.0021316556676985203,2.0801650217883334,0.01466666666666667,0.005828325450903454,0.005688229039382316
control,49,0.15,0.0021316556676985203,2.0801650217883334,0.01466666666666667,0.005828325450903454,0.005688229039382316
control,49,0.2,0.0021316556676985203,2.0801650217883334,0.01466666666666667,0.005828325450903454,0.005688229039382316
control,49,0.3,0.0021316556676985203,2.0801650217883334,0.01466666666666667,0.005828325450903454,0.005688229039382316
control,50,0.0,0.0011610578878337799,1.1208158683795344,0.003333333333333334,0.0020341181050669115,0.002006465608584179
control,50,0.05,0.00121047613814192,1.1658394886392327,0.003333333333333334,0.0020292465685977667,0.002003354565677905
control,50,0.1,0.0013583318153087,1.3053909606813014,0.002888888888888889,0.002103303259690489,0.0020774856467527343
control,50,0.15,0.00156910476973574,1.4993002727753577,0.0031111111111111114,0.0022888132598087724,0.002259823789447384
control,50,0.2,0.0016560268786166398,1.5772366618736293,0.0031111111111111114,0.002377129442001956,0.0023460603371473817
control,50,0.3,0.0015724823675468,1.5021700536262603,0.003555555555555556,0.002289546171663689,0.002261874260265578
control,51,0.0,0.0011767648693867198,1.1391344135638957,0.026444444444444448,0.008217772312956083,0.008047666494983252
control,51,0.05,0.00127036664820986,1.2276191944267685,0.02466666666666667,0.007620739036938293,0.007548659442859155
control,51,0.1,0.0016411527416264602,1.592131498361748,0.023555555555555555,0.007522092609220005,0.0074659573861245694
control,51,0.15,0.00150712367044134,1.4589810481794312,0.023555555555555555,0.007370940673173527,0.007338917856885869
control,51,0.2,0.00145040486481202,1.401017319296197,0.023333333333333334,0.007314860951770661,0.007291322890897449
control,51,0.3,0.0012235332224006998,1.184599858430731,0.023333333333333334,0.007101325717787221,0.00711392184893736
drift,42,0.0,0.0011480969671247801,1.1030978078899452,0.005555555555555556,0.0021246056289645496,0.0021111215026915
drift,42,0.05,0.0011480969671247801,1.1030978078899452,0.005555555555555556,0.0021246056289645496,0.0021111215026915
drift,42,0.1,0.0011480969671247801,1.1030978078899452,0.005555555555555556,0.0021246056289645496,0.0021111215026915
drift,42,0.15,0.0011480969671247801,1.1030978078899452,0.005555555555555556,0.0021246056289645496,0.0021111215026915
drift,42,0.2,0.0011480969671247801,1.1030978078899452,0.005555555555555556,0.0021246056289645496,0.0021111215026915
drift,42,0.3,0.0011480969671247801,1.1030978078899452,0.005555555555555556,0.0021246056289645496,0.0021111215026915
drift,43,0.0,0.0010533966065921,1.0097084595165355,0.0013333333333333333,0.0015233049630647168,0.001513410897077892
drift,43,0.05,0.00117506531492088,1.1275448918676336,0.0022222222222222222,0.0015445735690590833,0.0015333450996667952
