condition,method,n_seeds,auprc_mean,auprc_std,auprc_ci_lo,auprc_ci_hi,ap_lift_mean,ap_lift_std,ap_lift_ci_lo,ap_lift_ci_hi,p_at_budget_mean,p_at_budget_std,p_at_budget_ci_lo,p_at_budget_ci_hi,window_macro_auprc_mean,window_macro_auprc_std,window_macro_auprc_ci_lo,window_macro_auprc_ci_hi,transaction_weighted_window_auprc_mean,transaction_weighted_window_auprc_std,transaction_weighted_window_auprc_ci_lo,transaction_weighted_window_auprc_ci_hi
control,fedtypo,10,0.003625856278916218,0.0005833692479408067,0.003303165199231667,0.003980707627300476,3.431935591072809,0.5527370308843937,3.129022754949461,3.771611075517648,0.013733333333333334,0.002270584848790187,0.012444444444444447,0.015111111111111112,0.010185516514274236,0.0011815741004473986,0.009453323054426676,0.01083597878449159,0.008826008628525065,0.0008818223541305082,0.00828043734022606,0.009316706160721609
control,fedtypo_noreg,10,0.0012884995397993441,9.153818466174795e-05,0.001235660939750255,0.0013443596918088449,1.2179315214160245,0.08319940607967903,1.1696576892699657,1.2683550268070956,0.012933333333333333,0.0034391436711298,0.010977777777777777,0.014977777777777779,0.009072831233154752,0.0017606763870490658,0.007980423278968378,0.010060773715436072,0.007678468043313129,0.0014575507367162886,0.006777595121718158,0.008503905797018908
control,local_only,10,0.0012959899412471779,8.698235627220534e-05,0.0012419444062572035,0.001346211728059672,1.2256401096878036,0.07933203591200637,1.1758000711459917,1.2707738221786131,0.014222222222222223,0.00270750620481438,0.012666666666666668,0.015822222222222224,0.009299035542588808,0.001761002910288375,0.008171116898792479,0.010260649324707372,0.007957492217500563,0.001476392921088086,0.007018262326153316,0.008761088551811659
drift,ablate_g1,10,0.0012603143398401062,8.812180328936915e-05,0.0012103591853755878,0.001313984318019594,1.1889227753447615,0.07973830955215624,1.1432115936694864,1.2371350488113106,0.0132,0.0030866765325282966,0.011465555555555555,0.015022222222222223,0.00914372610151416,0.001820726066365604,0.008011285800764021,0.010157417899214469,0.007727757490245811,0.0014874523965329866,0.0068057689393133,0.008560606314624623
drift,ablate_g3,10,0.00126863672365547,8.768337859513153e-05,0.0012173505250893655,0.0013212751799688816,1.1965641112261511,0.07957481491648209,1.1497599081025938,1.243953823199089,0.013022222222222223,0.0032730348610496185,0.011199999999999998,0.014977777777777779,0.009126391912685817,0.0017944910120999582,0.007998293120588336,0.010114380069388682,0.007713235105344109,0.001459969128091361,0.006797984538031527,0.008528389617515092
drift,ablate_nommd,10,0.001268660421539464,8.670294546204796e-05,0.0012178620657502472,0.0013209560557743934,1.1967991726343703,0.07825795968267023,1.1507609413098696,1.2436608419741777,0.012933333333333335,0.003489824518721216,0.010977777777777777,0.015066666666666667,0.00914463393155077,0.0017947402840628554,0.00803194690627335,0.010151498458308823,0.007713550130962428,0.0014668496287061567,0.006794894337619778,0.00853656756560723
drift,ablate_random,10,0.001260950578059136,9.492040634526288e-05,0.0012051380792227023,0.0013169104273527263,1.1894004544869738,0.08650175736191136,1.1384017113001637,1.2399568903791702,0.013155555555555556,0.0033665831387592864,0.01128888888888889,0.015244444444444444,0.009139873541136777,0.0018727134233436872,0.007979053002223332,0.010205025026781733,0.007739096611997061,0.0015385239136008093,0.0067891026645755205,0.008615421625935054
drift,ablate_rho0,10,0.001268515013373846,8.57637690079657e-05,0.0012182326661617795,0.0013202909258056945,1.1966387977770956,0.07739469291514471,1.1507714084138643,1.2429625203164765,0.012888888888888889,0.003512079878853244,0.010888888888888889,0.014977777777777779,0.009144295671195212,0.0017918789966541381,0.008027821343462655,0.01015153584597605,0.007717878832874657,0.001467154385340621,0.006800384454444954,0.008539652597149148
drift,ablate_samplewt,10,0.0012669874088327361,8.403117383615074e-05,0.0012184010021771992,0.0013182684318961066,1.1952608305511725,0.07573715046963618,1.1512293344834184,1.2410104915111684,0.0128,0.003344343954849769,0.010933333333333333,0.014800000000000002,0.009130100661984022,0.0018137228763317381,0.008004350383686,0.010146009342639482,0.0077007183234629505,0.0014900144420517663,0.006769994151348778,0.008536345580813311
drift,cda_fedavg,10,0.001260040349303138,9.032926515945598e-05,0.0012078494215828559,0.001314629976332887,1.1887026064533739,0.08178829393496745,1.140988065295371,1.237657381914862,0.013022222222222223,0.0031777691444240842,0.011200000000000002,0.014933333333333335,0.009101559550455149,0.0018547486405965147,0.00794621484818218,0.010134652003316378,0.0076807601295371345,0.0015143254167534626,0.006737856028843695,0.008527563597385199
drift,fedavg,10,0.001260040349303138,9.032926515945598e-05,0.0012078494215828559,0.001314629976332887,1.1887026064533739,0.08178829393496745,1.140988065295371,1.237657381914862,0.013022222222222223,0.0031777691444240842,0.011200000000000002,0.014933333333333335,0.009101559550455149,0.0018547486405965147,0.00794621484818218,0.010134652003316378,0.0076807601295371345,0.0015143254167534626,0.006737856028843695,0.008527563597385199
drift,fedproto,10,0.0012273976139297797,9.375171619790569e-05,0.0011722162392804128,0.0012829968675571902,1.1575623037783,0.08569129466183878,1.1069113092400256,1.2083046507739288,0.012755555555555556,0.003391589694882948,0.010844444444444445,0.014799999999999999,0.00845587319872024,0.0018891011969296965,0.0072646446179665015,0.009487671150901213,0.007047633907879475,0.0015335904449557181,0.006085179623401701,0.007887002424785896
drift,fedprox,10,0.0012609103857426638,9.149256948246541e-05,0.001208303292183166,0.0013160758526322917,1.1896208558692594,0.08313959894963886,1.1416449372810908,1.2390989074252965,0.013022222222222223,0.0035620311401813156,0.011022222222222221,0.015155555555555556,0.009198371166236436,0.0019067832626023299,0.008021054733032808,0.01026486553582053,0.007767736884593886,0.0015731771121342655,0.006795036258877512,0.008644595433073601
drift,fedtypo,10,0.0036718975816492777,0.0007932845644954992,0.003217019340515353,0.004156726461772503,3.4686977495191074,0.7470115384385492,3.04271987276949,3.926838077384689,0.013466666666666668,0.002505850493166245,0.012044444444444444,0.014977777777777779,0.010242067132994956,0.0012922131144010422,0.009443908507253834,0.01096493447465843,0.008869628454244792,0.0010036526414991952,0.008269671504536545,0.009451775328269008
drift,fedtypo_noreg,10,0.0012693352472107299,8.583163208424517e-05,0.0012193559603244678,0.0013211893217911054,1.1974141506933424,0.07748745542541687,1.1521947745649563,1.2437540914028136,0.012933333333333333,0.0034006373968824507,0.011022222222222221,0.015022222222222223,0.009142955402781528,0.0018025621996910096,0.00801944132849538,0.010153872926130177,0.007715021223378341,0.0014698326431799773,0.006795608598820958,0.008539420433039228
drift,local_only,10,0.001283948929488898,8.409391686353714e-05,0.0012321944630532989,0.0013321982590466816,1.2116331747452198,0.0766581650046205,1.1644090565109366,1.2556469827074896,0.014311111111111111,0.002770013841189984,0.012711111111111114,0.016,0.009347760218294232,0.001746389717951902,0.008230187120109474,0.010307331803414468,0.007988362860541547,0.0014715177586014662,0.007049473795877429,0.008793965081736315
