condition,method,n_seeds,auprc_mean,auprc_std,auprc_ci_lo,auprc_ci_hi,ap_lift_mean,ap_lift_std,ap_lift_ci_lo,ap_lift_ci_hi,p_at_budget_mean,p_at_budget_std,p_at_budget_ci_lo,p_at_budget_ci_hi,window_macro_auprc_mean,window_macro_auprc_std,window_macro_auprc_ci_lo,window_macro_auprc_ci_hi,transaction_weighted_window_auprc_mean,transaction_weighted_window_auprc_std,transaction_weighted_window_auprc_ci_lo,transaction_weighted_window_auprc_ci_hi
drift,ablate_nommd,10,0.0012989574911200482,0.00034768471461192195,0.0011212285381732928,0.0015216540928973063,1.2535624642336438,0.34777080441862224,1.0753378276307048,1.4770256848699679,0.014599999999999998,0.01100295508380052,0.008532777777777778,0.021133888888888886,0.0051918390314280435,0.0035934473060083853,0.003253662332722708,0.007373616222044484,0.0051284825197138355,0.003584886890133619,0.0031935869044331195,0.007296866402288339
drift,ablate_random,10,0.001275282085195316,0.0003491151594902975,0.0011037646315122484,0.0015025246898322147,1.2288453453380979,0.35036083593016426,1.0573340432967315,1.4562588233522336,0.013600000000000001,0.008993092914265317,0.008688333333333333,0.019133333333333332,0.004789753416552042,0.0033438361337458605,0.0031389310027187447,0.006967860672293283,0.004723835241183224,0.0033049411014663688,0.0030877344559122255,0.006869113997023592
drift,ablate_rho0,10,0.0013615338804820742,0.00042595749296332893,0.0011440546540527582,0.0016237697208574924,1.3070628112627696,0.41057018557861713,1.1001304414041004,1.5606363476759972,0.015400000000000002,0.009054051984543733,0.010377777777777777,0.020800000000000003,0.005429856359772644,0.003254080866804898,0.003734495599963082,0.007460263515175531,0.005366596351759538,0.0032577670828146227,0.00366641255743411,0.007396480708223829
drift,ablate_samplewt,10,0.001337664006485076,0.00040749853702171107,0.0011243692926475582,0.0015883068042691782,1.2859951777339713,0.401485592215139,1.0757075068885107,1.5358803429904804,0.012155555555555555,0.008718773400094465,0.007311111111111113,0.017355555555555555,0.004381496385792651,0.0029828398892952825,0.0027846148267234292,0.006208240009162272,0.004331992111492315,0.0029952341825305174,0.002738703013267598,0.006168301565173581
drift,cda_fedavg,10,0.001298390735264434,0.0003877214773729436,0.0011044570483987306,0.0015565431619855258,1.2501596225386877,0.3871878207822273,1.0571116219585142,1.5079380749513112,0.013844444444444446,0.00848531370644863,0.009111111111111111,0.018955555555555555,0.004951686021535715,0.0030857864870395485,0.0032310891865345256,0.006811552266205447,0.004886019678487844,0.003069801569769277,0.0031783547515374113,0.006737114845785693
drift,fedavg,10,0.001298390735264434,0.0003877214773729436,0.0011044570483987306,0.0015565431619855258,1.2501596225386877,0.3871878207822273,1.0571116219585142,1.5079380749513112,0.013844444444444446,0.00848531370644863,0.009111111111111111,0.018955555555555555,0.004951686021535715,0.0030857864870395485,0.0032310891865345256,0.006811552266205447,0.004886019678487844,0.003069801569769277,0.0031783547515374113,0.006737114845785693
drift,fedproto,10,0.0017242091696511197,0.0008641720028615268,0.0012464568736847159,0.002251241345477368,1.652770893122717,0.8162892500241754,1.199085882614375,2.150268231872067,0.010088888888888889,0.008134129354556206,0.0054666666666666665,0.014933333333333331,0.004058110206837539,0.002848589355578624,0.002460969495899129,0.0057800405896319875,0.004045855556811931,0.002850069629505258,0.002446853110326637,0.005771067084901015
drift,fedprox,10,0.0013079726480519102,0.00039179588125411743,0.001108615728086604,0.0015621896934915002,1.2588261955692768,0.3913944329153749,1.0610219490436916,1.5137026083980425,0.012444444444444445,0.011621370032255742,0.006222222222222223,0.019556111111111107,0.004760452721458493,0.003646518842951705,0.0028086978091549355,0.00697058615792657,0.004720167979683927,0.0036350165335369104,0.00277921064866383,0.006922847818220334
drift,fedtypo,10,0.001963207189196722,0.0011526190255708045,0.001452004527282053,0.002723000105124545,1.8632635351857523,1.0505025281109035,1.386440050240417,2.552441177187093,0.01615555555555556,0.010859900946126112,0.009955555555555556,0.02248888888888889,0.005442128932002546,0.003548530508606297,0.0035113764886572003,0.0075835867955963915,0.0053606582343650065,0.003492999633406622,0.0034667497652368456,0.00748755387495319
drift,fedtypo_noreg,10,0.00131071342276629,0.00035708730444621435,0.0011251317475456518,0.0015359020196808117,1.2612060438654074,0.35371676451757333,1.0782852853236995,1.4844234988210747,0.01368888888888889,0.010634313073276827,0.00788888888888889,0.019977777777777782,0.004804789153318433,0.003443807989473797,0.003008387216463885,0.006970264158659214,0.004739649270683711,0.0034400936405436055,0.00294295961300547,0.006900555519234711
drift,local_only,10,0.00182085745320646,0.001545672931070319,0.0011984790964239063,0.0028312695532515145,1.7759170392583203,1.580192878411531,1.1447936555433107,2.8060284323327624,0.03155555555555555,0.010225442326955495,0.025755555555555552,0.037711111111111105,0.01124352555054361,0.004795619149633193,0.008550339163143399,0.014124622124467188,0.011198469901480745,0.004773643137607094,0.008520974328620595,0.014069146733898997
