condition,seed,method,auprc,ap_lift,p_at_budget,window_macro_auprc,transaction_weighted_window_auprc
drift,47,ablate_rho0,0.00106618661112004,1.02121963400108,0.010666666666666666,0.003572474318068617,0.0035196255902118726
drift,48,local_only,0.00233176051451626,2.269595265147435,0.049333333333333326,0.020568263099979164,0.02047907874041408
drift,48,fedavg,0.0019235802538536402,1.8779367918207341,0.02577777777777778,0.009776415164361982,0.009647449576538007
drift,48,fedprox,0.0019101670456786,1.8657232263033823,0.020222222222222225,0.007980821909068812,0.00786389281477653
drift,48,fedproto,0.0016832970758272003,1.6620312592059652,0.016,0.006158891592222983,0.006089027444078416
drift,48,fedtypo_noreg,0.00171112593161326,1.6832344332139677,0.03377777777777778,0.012347053922104178,0.012199090338700487
drift,48,fedtypo,0.00246611429677076,2.388187190837796,0.03444444444444445,0.011865835074920722,0.011769734417533078
drift,48,cda_fedavg,0.0019235802538536402,1.8779367918207341,0.02577777777777778,0.009776415164361982,0.009647449576538007
drift,48,ablate_g1,0.0017162941106607598,1.6882067830609586,0.034,0.011976710768805543,0.011796101682820047
drift,48,ablate_g3,0.0017137019731024,1.6856838447821443,0.034666666666666665,0.012834478441985318,0.012700018362625718
drift,48,ablate_random,0.0017243553476002198,1.6955845515915602,0.03244444444444444,0.012899561114509829,0.012707890181339299
drift,48,ablate_nommd,0.00171112593161326,1.6832344332139677,0.03377777777777778,0.012347053922104178,0.012199090338700487
drift,48,ablate_samplewt,0.00202506385170314,1.970556520807989,0.024,0.009580621486336661,0.009476760454268107
drift,48,ablate_rho0,0.00171101830836078,1.683221404930619,0.030888888888888893,0.012169415863112612,0.01201003532297005
drift,49,local_only,0.0060942978606771,6.1537094525380125,0.036222222222222225,0.014936874749652832,0.014918744087476031
drift,49,fedavg,0.00212181932855392,2.071406662805786,0.01688888888888889,0.005903802878876817,0.005680435046664979
drift,49,fedprox,0.00214395335782586,2.0951455987299377,0.018222222222222223,0.006309844742841056,0.006192285536797004
drift,49,fedproto,0.0030440212869728795,3.051634296018791,0.023555555555555555,0.008844257511407156,0.008786200135910915
drift,49,fedtypo_noreg,0.00208536076879034,2.0322937118917737,0.015333333333333338,0.0047839307098766605,0.004611418608715404
drift,49,fedtypo,0.00505282554288666,4.652528580467213,0.02488888888888889,0.008798732175184195,0.008268260075301629
drift,49,cda_fedavg,0.00212181932855392,2.071406662805786,0.01688888888888889,0.005903802878876817,0.005680435046664979
drift,49,ablate_g1,0.00210740602104638,2.0559496127244996,0.01711111111111111,0.005654991547762961,0.00543799221352907
drift,49,ablate_g3,0.0020387555082784802,1.9872015823079778,0.014888888888888889,0.005384356106380116,0.005186390836958545
drift,49,ablate_random,0.00209458594709364,2.0431434908475508,0.01622222222222222,0.0052049004713224,0.005055103287604961
drift,49,ablate_nommd,0.00208186792596272,2.0289148019942496,0.01466666666666667,0.00481606895260376,0.0046350696563922655
drift,49,ablate_samplewt,0.00208894858779232,2.035789048361181,0.014666666666666668,0.004842906471060794,0.00468138824178923
drift,49,ablate_rho0,0.00212291515363492,2.0678590936898096,0.016,0.0045739007914800105,0.004441012624340501
drift,50,local_only,0.00133109152904048,1.2638280189237026,0.023777777777777773,0.0070049798073506435,0.006996331652900523
drift,50,fedavg,0.0011099464839538597,1.0625057833391118,0.00688888888888889,0.0024201864159531503,0.002404492914811218
drift,50,fedprox,0.0011285235398592601,1.0797318853382047,0.01088888888888889,0.003931807511195144,0.00394512861490174
