condition,reference,comparison,metric,seed,difference
drift,fedtypo_noreg,ablate_samplewt,auprc,49,-3.5878190019797244e-06
drift,fedtypo_noreg,ablate_samplewt,auprc,50,1.6356246421798254e-06
drift,fedtypo_noreg,ablate_samplewt,auprc,51,-2.0714623380939986e-05
drift,fedtypo_noreg,ablate_rho0,auprc,42,-7.410559546399895e-06
drift,fedtypo_noreg,ablate_rho0,auprc,43,-2.02503031598402e-05
drift,fedtypo_noreg,ablate_rho0,auprc,44,-2.3124296311040175e-05
drift,fedtypo_noreg,ablate_rho0,auprc,45,1.2276418712680063e-05
drift,fedtypo_noreg,ablate_rho0,auprc,46,-0.00045338927035395993
drift,fedtypo_noreg,ablate_rho0,auprc,47,1.664558275489992e-05
drift,fedtypo_noreg,ablate_rho0,auprc,48,1.0762325248006577e-07
drift,fedtypo_noreg,ablate_rho0,auprc,49,-3.755438484457979e-05
drift,fedtypo_noreg,ablate_rho0,auprc,50,1.0525431176999864e-06
drift,fedtypo_noreg,ablate_rho0,auprc,51,3.4420692202202525e-06
